date,import_usd
2019,47336096
2018,36661104
2017,98273464
2016,317496
2015,2790646
2014,729578
2013,822492
2012,124497808
2011,51177272
2010,NA
2009,NA
2008,33965352
2007,78979256
2006,61448472
2005,NA
2004,39383756
2003,188792896
2002,310559552
2001,70896832
2000,217213104
1999,311391072
1998,146904224
1997,195462000
1996,246202560
1995,169417840
1994,226205776
1993,197500
1992,97331816
1991,50355
